removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1784,18,prune,60,1000,89.7834278126177,1770346,158720.906955284,0.832872363497964,0.832128266891521,355245,32020.0079618336
1785,18,prune,61,1000,91.3389294483676,1771346,158812.245884732,0.833342820890755,0.832607130744554,354245,31928.6690323852
1786,18,prune,62,1017,91.5475125961828,1772363,158903.793397329,0.833821276059223,0.833087088139306,353228,31837.121519789
1787,18,prune,63,1002,90.0098246538548,1773365,158993.803221982,0.8342926743668,0.833558983876479,352226,31747.1116951352
1788,18,prune,64,1000,89.834308870106,1774365,159083.637530853,0.834763131759591,0.834029959434655,351226,31657.2773862651
1789,18,prune,65,1000,91.4393013910122,1775365,159175.076832244,0.835233589152382,0.834509349509043,350226,31565.838084874
1790,18,prune,66,1000,89.8781228362214,1776365,159264.95495508,0.835704046545173,0.834980554771298,349226,31475.9599620378
1791,18,prune,67,1000,91.3895144301125,1777365,159356.34446951,0.836174503937964,0.835459683826906,348226,31384.5704476077
1792,18,prune,68,1000,89.7082052207951,1778365,159446.052674731,0.836644961330755,0.835929998259758,347226,31294.8622423869
1793,18,prune,69,1000,91.3652426686063,1779365,159537.417917399,0.837115418723546,0.83640900006547,346226,31203.4969997183
1794,18,prune,70,1000,89.6583784217907,1780365,159627.076295821,0.837585876116337,0.836879053270682,345226,31113.8386212965
1795,18,prune,71,1000,91.3315058961353,1781365,159718.407801717,0.838056333509128,0.837357878204157,344226,31022.5071154004
1796,18,prune,72,1000,89.555118481021,1782365,159807.962920198,0.838526790901919,0.837827390047067,343226,30932.9519969194
1797,18,prune,73,1000,90.5820837345882,1783365,159898.545003933,0.83899724829471,0.838302285974739,342226,30842.3699131848
1798,18,prune,74,1000,89.8175587322354,1784365,159988.362562665,0.839467705687501,0.838773173716738,341226,30752.5523544525
1799,18,prune,75,1000,91.3595454627259,1785365,160079.722108128,0.839938163080292,0.839252145653632,340226,30661.1928089898
1800,18,prune,76,1000,89.4061536332572,1786365,160169.128261761,0.840408620473083,0.8397208765165,339226,30571.7866553566
1801,18,prune,77,1000,91.0629414594813,1787365,160260.191203221,0.840879077865874,0.840198293443534,338226,30480.7237138971
1802,18,prune,78,1000,89.2235416230823,1788365,160349.414744844,0.841349535258665,0.840666066923922,337226,30391.500172274
1803,18,prune,79,1000,91.5008873287321,1789365,160440.915632172,0.841819992651456,0.841145779875747,336226,30299.9992849453
1804,18,prune,80,1000,89.0857759329404,1790365,160530.001408105,0.842290450044247,0.841612831090069,335226,30210.9135090123
1805,18,prune,81,1000,91.1922710661644,1791365,160621.193679171,0.842760907437038,0.842090926055199,334226,30119.7212379462
1806,18,prune,82,1000,91.2850283678032,1792365,160712.478707539,0.843231364829829,0.842569507320301,333226,30028.4362095784
1807,18,prune,83,1000,91.5505433516888,1793365,160804.029250891,0.84370182222262,0.843049480604436,332226,29936.8856662267
1808,18,prune,84,1005,91.9546591874945,1794370,160895.983910078,0.844174631902375,0.843531572552184,331221,29844.9310070392
1809,18,prune,85,1023,93.0760664644388,1795393,160989.059976543,0.8446559098152,0.844019543717179,330198,29751.8549405747
1810,18,prune,86,1000,91.0810177869435,1796393,161080.14099433,0.845126367207991,0.844497055413223,329198,29660.7739227878
1811,18,prune,87,1000,90.5373068072421,1797393,161170.678301137,0.845596824600782,0.844971716588286,328198,29570.2366159805
1812,18,prune,88,1000,91.5524295781382,1798393,161262.230730715,0.846067281993573,0.845451699761366,327198,29478.6841864024
1813,18,prune,89,1000,89.5940056840716,1799393,161351.824736399,0.846537739386364,0.845921415478746,326198,29389.0901807183
1814,18,prune,90,1000,91.5840293060836,1800393,161443.408765705,0.847008196779155,0.846401564320152,325198,29297.5061514122
1815,18,prune,91,1000,89.526391398067,1801393,161532.935157103,0.847478654171946,0.846870925555191,324198,29207.9797600142
1816,18,prune,92,1000,91.5941799755481,1802393,161624.529337079,0.847949111564737,0.847351127613651,323198,29116.3855800386
1817,18,prune,93,1000,89.5731607739173,1803393,161714.102497853,0.848419568957528,0.847820734047136,322198,29026.8124192647
1818,18,prune,94,1000,89.3442222567758,1804393,161803.44672011,0.848890026350319,0.84828914022153,321198,28937.4681970079
1819,18,prune,95,1047,95.9355514098066,1805440,161899.382271519,0.849382595240571,0.848792102847307,320151,28841.5326455981
1820,18,prune,96,1000,88.5348839192981,1806440,161987.917155439,0.849853052633362,0.849256265892544,319151,28752.9977616788
1821,18,prune,97,1000,91.6118735836172,1807440,162079.529029022,0.850323510026153,0.849736560713524,318151,28661.3858880952
1822,18,prune,98,1000,88.5036210061976,1808440,162168.032650029,0.850793967418944,0.85020055985626,317151,28572.882267089
1823,18,prune,99,1000,91.6787643036146,1809440,162259.711414332,0.851264424811735,0.850681205366131,316151,28481.2035027854
1824,18,prune,100,1000,88.5029440148414,1810440,162348.214358347,0.851734882204526,0.851145200959595,315151,28392.7005587706
