method,stage,stage_order,x,scientificName,species,sp_persist
pipe,1,1,4.81480209504086,Leptopterus chabert,Leptopterus_chabert,1
pipe,1,1,4.81480209504086,Lophotibis cristata,Lophotibis_cristata,0.999996019792002
pipe,1,1,4.81480209504086,Mentocrex kioloides,Mentocrex_kioloides,0.999999513517803
pipe,1,1,4.81480209504086,Microcebus murinus,Microcebus_murinus,1
pipe,1,1,4.81480209504086,Microcebus rufus,Microcebus_rufus,1
pipe,1,1,4.81480209504086,Microgale brevicaudata,Microgale_brevicaudata,1
pipe,1,1,4.81480209504086,Microgale cowani,Microgale_cowani,1
pipe,1,1,4.81480209504086,Microgale gymnorhyncha,Microgale_gymnorhyncha,1
pipe,1,1,4.81480209504086,Microgale longicaudata,Microgale_longicaudata,1
pipe,1,1,4.81480209504086,Microgale parvula,Microgale_parvula,1
pipe,1,1,4.81480209504086,Microgale principula,Microgale_principula,1
pipe,1,1,4.81480209504086,Microgale soricoides,Microgale_soricoides,1
pipe,1,1,4.81480209504086,Microgale taiva,Microgale_taiva,1
pipe,1,1,4.81480209504086,Monticola sharpei,Monticola_sharpei,1
pipe,1,1,4.81480209504086,Motacilla flaviventris,Motacilla_flaviventris,1
pipe,1,1,4.81480209504086,Mystacornis crossleyi,Mystacornis_crossleyi,1
pipe,1,1,4.81480209504086,Neodrepanis coruscans,Neodrepanis_coruscans,1
pipe,1,1,4.81480209504086,Neomixis striatigula,Neomixis_striatigula,1
pipe,1,1,4.81480209504086,Neomixis viridis,Neomixis_viridis,1
pipe,1,1,4.81480209504086,Nesogale dobsoni,Nesogale_dobsoni,1
pipe,1,1,4.81480209504086,Nesogale talazaci,Nesogale_talazaci,1
pipe,1,1,4.81480209504086,Nesomys rufus,Nesomys_rufus,1
pipe,1,1,4.81480209504086,Newtonia amphichroa,Newtonia_amphichroa,1
pipe,1,1,4.81480209504086,Newtonia brunneicauda,Newtonia_brunneicauda,1
pipe,1,1,4.81480209504086,Oryzorictes hova,Oryzorictes_hova,1
pipe,1,1,4.81480209504086,Otus rutilus,Otus_rutilus,0.999999999999792
pipe,1,1,4.81480209504086,Oxylabes madagascariensis,Oxylabes_madagascariensis,1
