alpha,beta_logM,sigma
0.7126518488418305,-0.2915361564829439,0.3633499748682935
0.6948806230336303,-0.2848485174393093,0.36004378562953526
0.6876664989015853,-0.29350383680582603,0.33835650467455486
0.7335175889616247,-0.2960888646610045,0.29912804989455605
0.6802626761600649,-0.2835023012874046,0.3178021068237293
0.6121508099016792,-0.2616464957635752,0.3702539670538202
0.5574130066913574,-0.242357577486312,0.3292120879630114
0.6751977125183486,-0.2730129341397399,0.31895814050790006
0.6195304930234294,-0.2648167152203742,0.32091367001897564
0.6798917512350464,-0.28841256265340787,0.32978473315337914
0.609858182696008,-0.2641212608534996,0.32720990225707763
0.6863193443644854,-0.27216852704294303,0.33263681810796103
0.642232338739115,-0.2647032327525195,0.3439844798690051
0.703123482944798,-0.2850513826911681,0.2931087738537849
0.6890639464551577,-0.2919728407321551,0.3531178993161149
0.6372894673894279,-0.2700620655335315,0.34309628689817645
