alpha,beta_logM,sigma
-0.17379180353478102,-0.18891875373461708,0.36873327591567057
-0.03167414463126302,-0.26833291423875966,0.2107189882616273
0.003662730994094407,-0.314647060948359,0.41231835818138546
0.361392935013071,-0.38107670644226155,0.20286008194781316
0.29272246586873363,-0.3732447204184262,0.1847077205457194
-0.22791920662654158,-0.20088264590974808,0.2405755825440822
0.26112304899100386,-0.3712833752424755,0.22018701521620324
0.01198980341630625,-0.2804165987926542,0.3033487515314544
0.16088815660983696,-0.3640961847606269,0.32062769433924243
0.337917850404325,-0.40231737957751335,0.2299856223950752
1.1801485807750445,-0.6112316244260457,0.5735045546512867
0.005103718216109037,-0.2847987103966679,0.24673427429879474
0.022452613086930612,-0.344664992773108,0.2801504285687424
0.0858489893658913,-0.34526396052843966,0.2487413818524815
-0.3997449811219711,-0.18091177671638412,0.2795764157330643
-0.6831040579456145,-0.03213760187994028,0.21958181661578652
-0.2869077634551927,-0.14610595280148161,0.32927596240176105
0.3981656594884725,-0.39754908467572597,0.3293693895324421
-0.010096281120689277,-0.29923908064287846,0.30667623462374055
-0.2625151010956949,-0.18494651971310794,0.28054434374723514
-0.16179108253655028,-0.20708669040824665,0.20755184483919725
-0.07761779753178225,-0.22185730213846996,0.1986981254889389
-0.17574428855555474,-0.21192675299653693,0.3124920609642771
-0.3240604823853378,-0.14586912011636255,0.18830243546519598
-0.026125453388607,-0.25957854143377007,0.20152612593246724
-0.13417723763920333,-0.23305292942705813,0.3242192039067299
0.018051310409056665,-0.3054118530902546,0.24540868899607543
0.24242766294284054,-0.3810171485040476,0.3020437168496578
-0.26345522192142246,-0.2201730187657703,0.24275240045891472
-0.6606891445812282,-0.05994735388465577,0.28859312961497396
0.11300771947962494,-0.2645867834194391,0.23072802801278292
0.03157268037387866,-0.27093741316629927,0.23669618209212517
-0.07595846313124964,-0.2503495856785975,0.2009050738291241
0.3580126366465831,-0.4026655142983928,0.29924341517961234
0.6504551775535308,-0.47121920047424554,0.28173122509780646
0.2508437250385249,-0.3562925979424491,0.34352357115646615
0.12037358086816669,-0.32473735223240313,0.1870986152865457
-0.048151826157951404,-0.27033433466598134,0.2019516336308065
-0.18050582025711728,-0.18368494662448442,0.259970086051032
-0.15035126039684635,-0.23093249181728887,0.2920280173875093
-0.6352240361534542,-0.1002888161227422,0.24311967349645894
-0.7416555737881007,-0.04728730692425996,0.30769266026384073
-0.10590584616287696,-0.181529471200908,0.3159549460565283
0.19596493018082675,-0.27213047011183455,0.2722367641420268
0.21455728179891012,-0.3603799799055502,0.2589941106661201
0.1422011400717787,-0.3144553162950127,0.17871960595735153
-0.09284663671278497,-0.22194125857916497,0.2117062318578716
-0.2397529064488289,-0.2169957612581719,0.1992938250071524
0.022173008794834782,-0.2763283550915139,0.29755206546686513
0.11406182840483386,-0.2831553268235945,0.2523077859322056
-0.12084900840804749,-0.2428554787697268,0.242207702445601
0.0044130392511994715,-0.30082102127615334,0.19704539989241746
0.1937638633642163,-0.3272232595943877,0.24796523270688509
-0.020426785254314406,-0.25603849976511345,0.19905404730073722
-0.0015075599515685734,-0.27624091285566343,0.21969397809639965
-0.39598241879394797,-0.10571677872301177,0.298927645906943
-0.20478366359616357,-0.21980278761348374,0.3045840137192637
0.0779983710564996,-0.3218660098046609,0.2570869810371504
0.02743364863341973,-0.30166360337444237,0.2377704473329842
-0.4400296751921509,-0.08638956566823484,0.47600903555466145
-0.08519005209453805,-0.24887623043114956,0.20727781874594575
0.08160295708985588,-0.3055550319055038,0.25532695165655794
0.04433626112879531,-0.31502188308393025,0.1904579274313309
-0.236122054284288,-0.18938115692989588,0.19841563011811017
-0.15173231419468702,-0.24082426404294005,0.2547935201426945
-0.20445428913157315,-0.24944823803487942,0.3183423696208604
-0.14245345637917922,-0.17013514090941423,0.302758523218691
0.0721125338874356,-0.29178455933621833,0.22773546448734341
-0.09270048659767924,-0.24400453561885774,0.2068496358515296
-0.09462558618391699,-0.2576799354515164,0.2930397485096653
0.20019446667434115,-0.3004277074251713,0.3254585314838093
-0.041265579340831325,-0.2827548818391547,0.17744134355529279
-0.4577166842171222,-0.1267462217491432,0.2642004032541452
-0.16030240452735475,-0.15701491701618134,0.2847876374199782
0.269111100110848,-0.3882182992613507,0.23296959207906637
-0.3434054048344734,-0.15503335120277095,0.20871365088767274
0.07665694867003689,-0.2775807556067047,0.24174791467613949
-0.09246358954467193,-0.20961115309972198,0.22234136242122865
-0.1571429454347382,-0.1745050938666968,0.24788113419809632
-0.5836865994703353,-0.08689007707620064,0.2542826072600435
-0.3505387622943612,-0.1639307101803646,0.2794598574709303
0.11224078371903176,-0.31549322544823033,0.20696056396970547
-0.2820425779391438,-0.1710607615937861,0.18364230330733478
-0.014402993326596808,-0.2384996606417661,0.33772734368432933
-0.7191573455378604,-0.040471702058243644,0.35710103312479163
-0.5855291663190706,-0.09332497225060271,0.24400589112855503
-0.3041649111840843,-0.17986610757132587,0.2877990859876221
-0.16334775001783236,-0.19391508044431102,0.3294323478222258
0.0514936051783664,-0.2692633115189151,0.2245801820024156
0.005798001629969678,-0.2713327438441537,0.21923348585666058
-0.07719976359424484,-0.22701096185537678,0.17700537009378003
-0.16176400128049906,-0.24393681426529848,0.24489835021981377
-0.5329012920464299,-0.12506585387225294,0.2598393632142786
-0.20129904055367115,-0.18048784228983591,0.2155309503538999
-0.11888405115467518,-0.2871039782098883,0.3461305355087159
-0.06995791561290714,-0.2606809579770464,0.27380033701518064
-0.013554687833161216,-0.29733760082574173,0.33499151448797604
-0.020043304701626782,-0.25404208197960526,0.27016358864299184
-0.15988100006341072,-0.261686075613252,0.22234787835790104
-0.06847107789717775,-0.2507971439187069,0.22144335062096593
-0.316661681669833,-0.1887999199626954,0.19617912395878584
-0.2382167852740359,-0.16840559244149741,0.2770855585169863
-0.11857933807323509,-0.2438083184282046,0.2559715932904896
-0.2576640385058317,-0.1913908968367518,0.19524868815760657
-0.24269894940509118,-0.2183992428354223,0.41812597853544387
-0.03753858527315633,-0.2587973326153873,0.30427570528590786
-0.5085136217713284,-0.1053691171023895,0.30189459173379873
-0.12294604175453083,-0.2621388381377361,0.22937239763458295
-0.06498690222603978,-0.22998588844840914,0.19772123281794596
-0.08959425255783006,-0.29586168106673694,0.2631166102408863
0.18327236083234025,-0.3231596292100171,0.2779028427628141
-0.07932028096577823,-0.2295754850699687,0.26752240491486534
-0.09579047801222948,-0.25500653428986675,0.21698546156360377
0.025522274103580433,-0.24720007891165724,0.31965108087725846
-0.08054025706180637,-0.29117790473733657,0.3831317267832561
-0.18298440022732343,-0.23316244727753097,0.29456424442562823
