alpha,beta_logM,beta_ilr1,beta_ilr2,sigma
-0.03331848409451613,-0.16728592130379877,0.07125522258113687,0.053868408547707296,0.3062015874716854
0.0833328163562327,-0.20725659973303218,0.09912618558715128,0.08420135054301695,0.279055012317428
0.08221862220544772,-0.21207134346941728,0.1101999635434615,0.059115937855992014,0.2908132094357699
0.09345958535124899,-0.2113643038483908,0.10806109784776227,0.08362576731071374,0.3272468589942917
0.06102276644208926,-0.19254713674300863,0.10106633693430374,0.06554869488804109,0.2830389095968467
-0.060580824338391716,-0.14316255049570392,0.09122891021126478,0.09636147930615394,0.29409545479033466
-0.04014367132308318,-0.15560431371939545,0.08483920664789514,0.06694180586546754,0.27161017967383766
0.010575177100990017,-0.16596295319948695,0.06353224780850107,0.09192433908303169,0.2894276264154635
0.037137826042106706,-0.1916955614790824,0.07808806578961104,0.08827394649964898,0.2915109400006011
-0.06205377227366009,-0.14629253832648564,0.06671281696703163,0.05046170322783024,0.2760807155498516
0.03813384896033631,-0.18667225869924733,0.10028660959956646,0.09557999668939426,0.30668705094977644
0.05926792870118968,-0.18291771341923824,0.0793535420495673,0.08113186410244279,0.2805129668770366
0.01620962078694588,-0.16266720764266246,0.07358958302586845,0.0771328463539608,0.27650739630922844
0.1720208335745715,-0.22978636916826334,0.09872837535105361,0.09976545064636995,0.2870195934601168
0.049760532651847954,-0.19243286619907854,0.08902548601663524,0.07154006831925469,0.29782930600045693
0.12217145084498363,-0.21167097554343578,0.08211170719299278,0.08494815450073506,0.29522999494257707
0.10064586505559693,-0.21349003432012578,0.08009150710047204,0.0962003996851171,0.2964228184344368
-0.011702828947190528,-0.15387460412941756,0.08835217143585841,0.09492700986374536,0.2670112089265063
-0.03240674377575309,-0.1508723582182367,0.088006369268807,0.06895216982930512,0.28748037281221855
-0.08474925135506337,-0.1201935616869378,0.07792306985665118,0.05777519021215709,0.3005468293315877
-0.12024437041812067,-0.12472666096942009,0.03886582926404393,0.047379835588073446,0.32327336976110715
0.014624793753637356,-0.1600069070225647,0.10158190337538343,0.07859046543013033,0.29404562600798523
-0.015036494637402132,-0.18563821216699883,0.02879304716870084,0.031254505249698444,0.29165062548799314
-0.006973468136551281,-0.13457880708092718,0.0778748829550221,0.10050460388559078,0.281884021841196
-0.033887665253259765,-0.14939661495856038,0.048539932939551625,0.07549097049532524,0.2814918050693813
-0.05894629992767948,-0.14768951916821382,0.05816320235380442,0.053482809535320516,0.2738327572139062
-0.0292304794918243,-0.1490035406187128,0.059522960474540365,0.07207939649805849,0.2827029822595981
0.07224629816436592,-0.19272500227854777,0.09527638420935988,0.08378482894124112,0.329276381485083
0.05406873340788145,-0.17708099732383026,0.063498983967123293,0.0942854061209091,0.2982516932550078
-0.14009663136817466,-0.1187303390227955,0.07423719461528402,0.026739486363980852,0.29688739422175464
-0.05927382052927861,-0.15774797722063988,0.05625473209974321,0.046087674600690166,0.30734875251740595
0.041042456751057894,-0.177692176348695,0.06985380392642433,0.06526552748834336,0.29505541146238756
0.13658599971173666,-0.22931968017677554,0.1334943504920204,0.09384020845934385,0.2973930589620026
0.07762905879898509,-0.19824049320973225,0.0786594394067073,0.09598830486655427,0.2925529689583836
0.1106866560757133,-0.22188590641296688,0.06075909871146513,0.09892654630516397,0.30022633617190037
-0.0034372284772352987,-0.1771130024369096,0.05907412232855801,0.04686909924783457,0.287951215626203
-0.11108229558948804,-0.11791858561712973,0.036698073564869954,0.04380573300310352,0.301404220673463
-0.10361450679666909,-0.12958281543836378,0.042710679356109824,0.05006848907558367,0.3158132151370511
0.03480315082387979,-0.1861170228940698,0.08157806966542158,0.09028053894497676,0.27391158185579023
-0.03347835054531946,-0.17351728994449328,0.09472002123002135,0.08971200185185918,0.2992250786318065
0.020554488655422788,-0.18430996467508884,0.08234705014094967,0.05398487139862926,0.2806418268924101
0.07299081960737121,-0.19965170688171002,0.10802312360817319,0.07893404886317135,0.2974721173073428
0.010353707428769137,-0.18004925466092087,0.048848021384862585,0.04007238842037477,0.28929529240152996
0.04033023699671927,-0.17949512356466454,0.06531003006142201,0.07744672852759135,0.3071726353605528
0.05933643581587655,-0.18317888703802046,0.05895589879265889,0.07786828901962456,0.2867319238972074
0.1135101841912844,-0.2179852188439318,0.06608523815493247,0.08678141104869971,0.29347345211868353
-0.11771382187058646,-0.134650784904832,0.05811720961700008,0.03191186634356738,0.2695999476940931
-0.023427993433638643,-0.1430404323634307,0.07874483729058343,0.07296836841647919,0.28908362791218956
-0.11804277580228378,-0.12813766205027424,0.04495822546879449,0.055074913732458916,0.28389316262261316
-0.01508079898194465,-0.15896216419710632,0.05949544352625151,0.08266322759712155,0.3055748234090538
-0.03294496091885949,-0.15821211478188255,0.0706230967778026,0.0632721660390427,0.26916207707770007
-0.0019175840207650077,-0.15144778211426935,0.08440870075310106,0.09998342179042875,0.3151477751939986
0.04040016762624538,-0.17674751643024236,0.09886505017653616,0.09818292467284373,0.2928383092234964
0.07170736836992214,-0.19698900627836252,0.08653060714599857,0.07874402901949658,0.30359136014631255
0.07083467054795307,-0.18027961058097502,0.07862555215669657,0.1147517112224377,0.26756637782312437
0.025772306927489885,-0.18886180212302406,0.03334343517901846,0.054173735209414785,0.27071578025605375
0.05922940560553713,-0.18798720297793264,0.07209000133630561,0.07249492718869485,0.2743134581455965
-0.0758452385298748,-0.1459596635831534,0.09814284098167136,0.03183089382937135,0.28922964214494445
0.10755914357125794,-0.19656716100629348,0.06309634465998405,0.09760174486403732,0.3090611698582716
0.05909932178559197,-0.19691415059395107,0.05973014512361808,0.06248352210050993,0.29819899823296253
0.047800935097285044,-0.18911376517475098,0.058813357837328606,0.05716717408376629,0.2855580198487393
-0.009151090097573165,-0.18440479527425607,0.08723997107920957,0.0676529927575932,0.301921872175549
-0.02555045263986954,-0.14402965908225848,0.1254489690045372,0.0584785354340169,0.30683843405592454
0.01756728722017893,-0.18680581502081506,0.07156062362888335,0.09834854522994821,0.28526673505867645
0.053627699289122546,-0.18424146833427374,0.0982863862666481,0.10198802937910655,0.29061574120366734
-0.17493969880328633,-0.09336580299026351,0.06314105363274973,0.028488403081674406,0.28404369326295326
-0.10538602900664662,-0.13499997713246784,0.05986818258579877,0.045124436196855716,0.27872443489753257
-0.07102624080136835,-0.15720402044243345,0.06385787565566588,0.06541831663384956,0.29927661124088833
-0.06921558238058492,-0.1560847527562097,0.07088169235727919,0.031000963429301136,0.28090488045597667
0.045114610823700795,-0.19041851732069567,0.0854540687728237,0.08051817327632906,0.30376289637912324
-0.10364544908919032,-0.12386237359186572,0.06780625260919201,0.0639445386479282,0.32275873857112564
2.7502744293294093e-4,-0.17104466593290482,0.04395653672874898,0.07635032749376265,0.29264214402396604
-0.027808517887376618,-0.15675883607780616,0.05273063322469168,0.07160319147574516,0.3259165646914458
-0.06137137731618491,-0.14486522782919647,0.08029154508838415,0.08143541947283717,0.29730832904357374
-0.08813840343333028,-0.13248037822752956,0.10063754656482343,0.07702869639934752,0.28197162494045
-0.06088180744505734,-0.1440813171542684,0.04955471468680937,0.07016222193536369,0.3436170199007913
-0.1181545293344459,-0.12375798524788516,0.05787201073198783,0.04945193398449687,0.28721803751505104
-0.12247975388310019,-0.125313697266916,0.07007678227811988,0.06065312554667951,0.2797874499861286
-0.03228692089731422,-0.14960100961065262,0.08088720193927579,0.06526732926804822,0.2985748582976565
0.019045153174586556,-0.171013200141344,0.09120537026720411,0.0768290550614914,0.2851500185937686
0.02802029298966175,-0.1847310969086302,0.08449436003093713,0.08788182824397783,0.27935962984489227
0.040188291963950275,-0.17426075238661642,0.04648532374808607,0.08903183542448102,0.29573574947482956
-0.06548162079032792,-0.14136609751230725,0.07548853353381425,0.055818761920551394,0.281369419403287
-0.07209461237726937,-0.14975996264943447,0.1045901529176127,0.03215170179942621,0.29627555422280794
0.046297155233069535,-0.16966953726308456,0.0922335306563538,0.0951040424825361,0.2999117696931419
-0.023165483119634955,-0.17013898613557274,0.06135482650258527,0.05274000926824993,0.2623333862921035
-0.02527892316033405,-0.16129424885472407,0.07369903450277909,0.06585649360953186,0.2868958828030843
-0.07795373823452804,-0.14211278767794147,0.06902318914266684,0.06745722796390256,0.28929926024118574
-0.04310387310940994,-0.15262143504609815,0.08115280198486512,0.03840010490988378,0.26439046572703206
0.13578749144933955,-0.20002165015797604,0.11353967905559745,0.12211019032725887,0.28606483773651303
0.1564907935783307,-0.22513470907178665,0.09704117777691082,0.08851043299516588,0.3109063106839891
0.010054311962957089,-0.1670538373623072,0.06734820628146024,0.10573371343596355,0.29574297551874396
-0.08912001025818445,-0.13592573249533377,0.07523192631548403,0.04218677704668343,0.27863559252227554
0.003994432110742018,-0.16758445229811597,0.06590173157312819,0.06414544307180181,0.2972558220491731
-0.06881913945904239,-0.13893405943309114,0.06886148824178533,0.046169583538756144,0.3059439382453627
-0.04755418501114306,-0.12223028954508178,0.07731663802071154,0.09660425373588885,0.28271865961144405
-0.014110457817111496,-0.15235542096129318,0.06205470462498254,0.07679866631991003,0.2932950738742015
-0.08768318511832285,-0.12327523757048223,0.08523799528805265,0.04423817227918447,0.27013703364893094
-0.11479272141464175,-0.11730434490112242,0.09105219685655028,0.07026693562315302,0.2792490009480955
0.01843184080010961,-0.14844141763748514,0.07831111163663698,0.09311474825872638,0.29483347761188927
-0.058927789121313814,-0.12970466568386113,0.05986808636973809,0.0817893228539007,0.29405277640435873
0.08991788060710566,-0.20746475699714717,0.10617376941374876,0.10132051677805692,0.2840941044639356
0.06361670160264779,-0.20124713715769119,0.07148332500188694,0.10141674264665777,0.27299647711179637
7.118279993723314e-4,-0.17049923069774622,0.07327290533371981,0.07885677727576645,0.27977099536684125
