alpha,beta_logM,sigma
0.2698298816617769,-0.17672224865183486,0.3176158408073265
0.1929885272508047,-0.14846831618849565,0.2825611221280667
0.21926154715730214,-0.16320510386356024,0.28489929860239693
0.16315294860432178,-0.14453892653273975,0.2797322507033007
0.19789201401923365,-0.15429287394648278,0.2663108230302547
0.20934505058313252,-0.15865571117321248,0.26775967456272065
0.182056287099974,-0.16543859793957952,0.3020316176522377
0.10247644975251845,-0.13210213950773558,0.30245978726741723
0.18413420315325046,-0.15557271814706755,0.3087858019136807
0.21133540898204306,-0.17819364067696322,0.27552376036408704
0.2436307001580804,-0.16174991158865656,0.2824799046646842
0.31013417743804345,-0.189325103552567,0.29739023873355674
0.28026611256789746,-0.1764335295808267,0.34165334269955455
0.2589175431302167,-0.16873895302584468,0.30213492960653066
0.2933468547764283,-0.1826342937823674,0.2896492459430432
0.322018766493734,-0.20435932281792887,0.30116776647895027
0.2156730761482391,-0.16998472978979237,0.26179233067070795
0.2376384994519929,-0.17322244639414672,0.2908393566563462
0.23925601797656762,-0.1727865411371985,0.2970452705048343
0.21962193206171313,-0.1619575796328823,0.3089968447089738
0.2367965221763552,-0.1690474439935206,0.2969050231671577
0.20301128700391707,-0.15152063495472606,0.31295232571512105
0.2565795336607683,-0.17531404970546136,0.27860349546839003
0.24697290597138746,-0.17179540434519047,0.28235201100595847
0.18904591834871498,-0.15043235210668912,0.29410056343574864
0.23238309490166784,-0.16181031926429337,0.2967321420991071
0.23124628682901785,-0.1663262478117506,0.30154054017302534
0.27481566734894003,-0.17623042810653414,0.2865043745038877
0.3012707759207153,-0.1907202978196678,0.26868618196434335
0.24417947650858807,-0.1700508739076625,0.2861957626381539
0.3134176274043333,-0.18536233840509642,0.31821182784265895
0.2489700681105793,-0.1750263186232286,0.3239494740367581
0.19334531053374046,-0.16220536476287264,0.25695601095593606
0.08071811189967051,-0.1301754572838025,0.2828120003314729
0.14775471873155,-0.14994927241559947,0.28385288555130656
0.22674003921211272,-0.1472146549085553,0.30739564807943187
0.2459129292403503,-0.17272188725377483,0.2580133322416116
0.15455594949099502,-0.14108181256839003,0.3049501205253953
0.12311488251329131,-0.14601744507844516,0.30658515216597526
0.2705779924992464,-0.16349039792687914,0.28886572954693657
0.30075382269804457,-0.17653751803273826,0.28859858920306564
0.17514735284919755,-0.15897108751535144,0.2858798755039945
0.2864703615835091,-0.1777343538442083,0.27546099640009564
0.1876632597917094,-0.16572271075997644,0.30602280367730034
0.37603892670593814,-0.20044768928523174,0.3216055670888028
0.20598124161223727,-0.15447866655960066,0.30588491580027244
0.23410897414827841,-0.15565336173805025,0.2935898225087707
0.2171189539552944,-0.16326372025722785,0.2881591064144185
0.27091346283427015,-0.17200043213653005,0.26569474810295207
0.2744871895729156,-0.17997150052677505,0.3595996658181434
0.23035257297667885,-0.16074024103150103,0.2826718272585702
0.3619392048694368,-0.1892924015631436,0.3037773347620985
0.3112198581214366,-0.18134414449694464,0.2914512584314475
0.1660910541363493,-0.1495060508936212,0.29540032726879667
0.2302889419048669,-0.16298890763024515,0.30459598364376256
0.1233952722289757,-0.13567987176947555,0.29810858373588667
0.15360514636537206,-0.13289348493668598,0.34689547257634906
0.2347292608422891,-0.16168166780168916,0.2992608329460883
0.20176183275463716,-0.1547963294599692,0.2755050477444495
